Company,Country,City,Duration (Mins),Distance (KM),Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,is_citizen
Genting Skyway,Malaysia,Pahang,15,3.38,"9,900,000",2.84,2,0
Genting Skyway,Malaysia,Pahang,30,6.76,"9,900,000",5.11,2,0
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,"2,570,000",44.1,2,0
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,"2,570,000",29.87,2,0
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,"2,570,000",24.18,2,0
Tianmen Mountain Cable Car,China,Hunan,28,7.455,"34,900,000",43.71,2,0
Zhangjiajie National Forest Park Cable Car,China,Hunan,6,1,"34,900,000",9.3,2,0
Zhangjiajie National Forest Park Cable Car,China,Hunan,12,2,"34,900,000",17.86,2,0
Tianzi Mountain Cable Car,China,Hunan,10,2.084,"34,900,000",13.39,2,0
Yangjiajie Cable Car,China,Hunan,5.2,1.876,"34,900,000",14.4,2,0
Mutianyu Great Wall Cable Car,China,Beijing,5,0.723,"39,949,000",18.9,2,0
Mutianyu Great Wall Cable Car,China,Beijing,10,1.446,"39,949,000",22.7,2,0
Teleferico de Gaia,Portugal,Porto,5,0.562,"7,056,000",10.23,2,0
Teleferico de Gaia,Portugal,Porto,10,1.124,"7,056,000",14.61,2,0
Teleferic de Montjuic,Spain,Barcelona,5,0.75,"12,150,000",15.35,2,0
Teleferic de Montjuic,Spain,Barcelona,10,1.5,"12,150,000",23.38,2,0
Port Cable Car,Spain,Barcelona,10,1.3,"12,150,000",16.05,2,0
Port Cable Car,Spain,Barcelona,20,2.6,"12,150,000",24.07,2,0
Ba Na Hills Cablecar,Vietnam,Da Nang,17,6.12,"1,000,000",14.77,2,0
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,"16,200,000",15.24,2,0
Gulmarg Gondola,India,Gulmag,21,6.4,"1,650,000",34.93,2,0
Mt. Moiwa Ropeway,Japan,Sapporo,10,2.4,"15,230,000",6.23,2,0
Mt. Moiwa Ropeway,Japan,Sapporo,5,1.2,"15,230,000",3.11,2,0
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,"1,000,000",8.02,2,0
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,"1,000,000",13.91,2,0
Busan Air Cruise,South Korea,Busan,30,3.24,"1,800,000",22.11,2,0
Busan Air Cruise,South Korea,Busan,15,1.62,"1,800,000",17.08,2,0
Busan Air Cruise,South Korea,Busan,30,3.24,"1,800,000",17.08,2,0
Busan Air Cruise,South Korea,Busan,15,1.62,"1,800,000",13.06,2,0
Namsan Cable Car,South Korea,Seoul,3,0.605,"600,000",12.04,2,0
Namsan Cable Car,South Korea,Seoul,6,1.21,"600,000",15.05,2,0
Mount Titlis Cable Car : Engelberg to Titli,Switzerland,Lucerne,30,3.02,"1,200,000",107.82,2,0
Mount Titlis Cable Car: Engelberg to Trubsee,Switzerland,Lucerne,30,3.02,"1,200,000",53.91,2,0
Mount Titlis Cable Car: Engelberg to Jochpass,Switzerland,Lucerne,30,3.02,"1,200,000",70.38,2,0
Mount Titlis Cable Car: Engelberg to Engstlenalp,Switzerland,Lucerne,30,3.02,"1,200,000",86.86,2,0
Mount Titlis Cable Car: Engelberg to Stand,Switzerland,Lucerne,30,3.02,"1,200,000",83.86,2,0
Mount Titlis Cable Car: Engelberg to Titlis,Switzerland,Lucerne,30,3.02,"1,200,000",103.33,2,0
Mount Titlis Cable Car: Engelberg to Trubsee,Switzerland,Lucerne,30,3.02,"1,200,000",38.94,2,0
Mount Titlis Cable Car: Engelberg to Jochpass,Switzerland,Lucerne,30,3.02,"1,200,000",50.92,2,0
Mount Titlis Cable Car: Engelberg to Engstlenalp,Switzerland,Lucerne,30,3.02,"1,200,000",62.9,2,0
Mount Titlis Cable Car: Engelberg to Stand,Switzerland,Lucerne,30,3.02,"1,200,000",59.9,2,0
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,5,0.8,"2,000,000",16.48,2,0
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,10,1.6,"2,000,000",25.5,2,0
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,18,4.4,"2,000,000",46.46,2,0
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,36,8.8,"2,000,000",71.93,2,0
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,23,3.1,"2,000,000",46.46,2,0
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,46,6.2,"2,000,000",71.93,2,0
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,32,5.9,"2,000,000",46.46,2,0
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,64,11.8,"2,000,000",71.93,2,0
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,40,8,"2,000,000",92.95,2,0
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,80,16,"2,000,000",143.93,2,0
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,50,9,"2,000,000",133.46,2,0
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,100,18,"2,000,000",202.44,2,0
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,5,0.8,"2,000,000",19.49,2,0
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,10,1.6,"2,000,000",28.49,2,0
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,18,4.4,"2,000,000",53.98,2,0
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,36,8.8,"2,000,000",82.47,2,0
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,23,3.1,"2,000,000",53.98,2,0
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,46,6.2,"2,000,000",82.47,2,0
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,32,5.9,"2,000,000",70.48,2,0
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,64,11.8,"2,000,000",107.97,2,0
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,40,8,"2,000,000",106,2,0
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,80,16,"2,000,000",163,2,0
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,50,9,"2,000,000",163,2,0
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,100,18,"2,000,000",244,2,0
Grindelwald-Mannlichen GGM  ,Switzerland,Bern,19,6.3,"478,000",51,2,0
Grindelwald-Mannlichen GGM  ,Switzerland,Bern,38,12.6,"478,000",102,2,0
Grindelwald - Holenstein,Switzerland,Bern,10,2.5,"478,000",27,2,0
Grindelwald - Holenstein,Switzerland,Bern,20,5,"478,000",54,2,0
Kleine Scheidegg – Grindelwald Grund,Switzerland,Bern,14,3,"478,000",105.9,2,0
Schynige Platte,Switzerland,Interlaken,30,5,"1,000,000",96,2,0
Gelmer Funicular,Switzerland,Guttannen ,12,2.3,"43,000",27,2,0
Gelmer Funicular,Switzerland,Guttannen ,24,4.6,"43,000",54,2,0
Cable Car Taormina:  Taormina to the Mazzarò Bay ,Italy,Taormina,2,0.7,"3,950,000",8.75,2,0
Cable Car Taormina:  Taormina to the Mazzarò Bay ,Italy,Taormina,4,1.4,"3,950,000",14.59,2,0
Wellington Cable Car,New Zealand,Wellington,5,0.612,"1,470,000",8.91,2,0
Wellington Cable Car,New Zealand,Wellington,10,1.224,"1,470,000",4.86,2,0
Chamonix Cable Car,France,Charmonix,20,2.8,"500,000",81.73,2,0
Chamonix Cable Car,France,Charmonix,40,5.6,"500,000",109.45,2,0
Grenoble bastille Cable Car,France,Grenoble,8,2.8,"325,000",14.01,2,0
Grenoble bastille Cable Car,France,Grenoble,4,1.4,"325,000",9.49,2,0
Arthurs Seat Eagle Gondola Mornington Peninsula,Australia,Melbourne ,28,8.64,"13,900,000",27.25,2,0
Arthurs Seat Eagle Gondola Mornington Peninsula,Australia,Melbourne ,14,4.32,"13,900,000",20.21,2,0
Skyrail Rainforest Cableway,Australia,Queensland,30,7.5,"27,000,000",54.55,2,0
Skyrail Rainforest Cableway,Australia,Queensland,60,15,"27,000,000",81.82,2,0
Peak 2 Peak Gondola,Canada,Whistler,11,4.4,"3,000,000",131,2,0
Peak 2 Peak Gondola,Canada,Whistler,11,4.4,"3,000,000",97,2,0
Sugarloaf Cable Car,Brazil,Rio de Janeiro,3,0.85,"1,200,000",49.89,2,0
Table Mountain Aerial Cableway,South Africa,Cape Town,4.5,1.2,"1,200,000",25.56,2,0
Table Mountain Aerial Cableway,South Africa,Cape Town,8,2.4,"1,200,000",17.04,2,0
Palm Springs Aerial Tramway,USA,Palm Springs,10,4.02,"4,100,000",41.78,2,0
Jackson Hole Aerial Tram,USA,Jackson Hole,12,7.8,"1,600,000",67.5,2,0
Palisades Tahoe Aerial Tram,USA,Olympic Valley,10,2.4,"3,200,000",83.7,2,0
Palisades Tahoe Aerial Tram,USA,Olympic Valley,10,2.4,"3,200,000",97.2,2,0
Sandia Peak Tramway,USA,Albuquerque,30,8.6,"6,200,000",45.9,2,0
Sandia Peak Tramway,USA,Albuquerque,15,4.3,"6,200,000",31.05,2,0